dt,comptime,Phe_Bid,Phe_Ask,Phe_bid_chng,Phe_ask_chng,phe_sig,Phediff,btc_price
12/03/2022 09:30:41,1670077841.0,448108000.0,430302000.0,0.19,0.0,,,
12/03/2022 09:31:10,1670077870.0,396883000.0,411009000.0,-0.13,-0.05,,,
12/03/2022 09:31:39,1670077899.0,467210000.0,442607000.0,0.15,0.07,,,
12/03/2022 09:31:48,1670077908.0,466283000.0,432886000.0,-0.0,-0.02,LONG,7.16,16930.2
12/03/2022 09:32:17,1670077937.0,444024000.0,474909000.0,-0.05,0.09,SHORT,6.5,16938.5
12/03/2022 09:32:45,1670077965.0,416407000.0,474309000.0,-0.07,-0.0,SHORT,12.21,16938.5
12/03/2022 09:33:14,1670077994.0,491087000.0,473578000.0,0.15,-0.0,LONG,3.57,16937.3
12/03/2022 09:33:43,1670078023.0,446972000.0,476947000.0,-0.1,0.01,SHORT,6.28,16937.2
12/03/2022 09:34:11,1670078051.0,448794000.0,469289000.0,0.0,-0.02,SHORT,4.37,16940.5
12/03/2022 09:34:40,1670078080.0,486056000.0,493408000.0,0.08,0.05,SHORT,1.49,16940.6
12/03/2022 09:35:09,1670078109.0,482369000.0,478839000.0,-0.01,-0.03,LONG,0.73,16940.9
12/03/2022 09:35:38,1670078138.0,405427000.0,496961000.0,-0.19,0.04,SHORT,18.42,16940.7
12/03/2022 09:36:07,1670078167.0,452409000.0,499837000.0,0.1,0.01,SHORT,9.49,16941.6
12/03/2022 09:36:35,1670078195.0,447445000.0,497256000.0,-0.01,-0.01,SHORT,10.02,16941.2
12/03/2022 09:37:04,1670078224.0,466384000.0,474979000.0,0.04,-0.05,SHORT,1.81,16938.7
12/03/2022 09:37:33,1670078253.0,512277000.0,481652000.0,0.09,0.01,LONG,5.98,16938.7
12/03/2022 09:38:02,1670078282.0,456025000.0,468292000.0,-0.12,-0.03,SHORT,2.62,16938.7
12/03/2022 09:38:30,1670078310.0,460375000.0,485602000.0,0.01,0.04,SHORT,5.19,16938.7
12/03/2022 09:38:59,1670078339.0,463233000.0,464176000.0,0.01,-0.05,SHORT,0.2,16938.7
12/03/2022 09:39:28,1670078368.0,450713000.0,460402000.0,-0.03,-0.01,SHORT,2.1,16938.7
12/03/2022 09:39:57,1670078397.0,397878000.0,472854000.0,-0.13,0.03,SHORT,15.86,16938.7
12/03/2022 09:40:25,1670078425.0,437496000.0,477083000.0,0.09,0.01,SHORT,8.3,16938.7
12/03/2022 09:40:54,1670078454.0,451930000.0,475807000.0,0.03,-0.0,SHORT,5.02,16938.7
12/03/2022 09:41:23,1670078483.0,446073000.0,486117000.0,-0.01,0.02,SHORT,8.24,16938.7
