symbol,datetime,side,price,amount,usd,epoch,buy_amount,sell_amount
BTC/USD:USD,2022-12-05 16:11:22,buy,17108.3,191.0,3250.76,1670256682.0,3250.76,0.0
BTC/USD:USD,2022-12-05 16:11:37,sell,17110.1,420.0,7148.27,1670256697.0,0.0,7148.27
BTC/USD:USD,2022-12-05 16:11:55,buy,17111.3,71.0,1208.4,1670256715.0,1208.4,0.0
BTC/USD:USD,2022-12-05 16:11:55,buy,17112.5,194.0,3301.82,1670256715.0,3301.82,0.0
BTC/USD:USD,2022-12-05 16:11:56,sell,17110.8,175.0,2978.45,1670256716.0,0.0,2978.45
BTC/USD:USD,2022-12-05 16:12:04,buy,17113.0,89.0,1514.75,1670256724.0,1514.75,0.0
BTC/USD:USD,2022-12-05 16:12:12,buy,17113.0,63.0,1072.24,1670256732.0,1072.24,0.0
BTC/USD:USD,2022-12-05 16:12:12,buy,17113.5,197.0,3352.88,1670256732.0,3352.88,0.0
BTC/USD:USD,2022-12-05 16:12:12,buy,17113.9,73.0,1242.44,1670256732.0,1242.44,0.0
BTC/USD:USD,2022-12-05 16:12:14,sell,17111.3,71.0,1208.4,1670256734.0,0.0,1208.4
BTC/USD:USD,2022-12-05 16:12:15,sell,17111.0,430.0,7318.47,1670256735.0,0.0,7318.47
BTC/USD:USD,2022-12-05 16:12:44,buy,17113.9,69.0,1174.36,1670256764.0,1174.36,0.0
BTC/USD:USD,2022-12-05 16:12:47,buy,17114.0,143.0,2433.82,1670256767.0,2433.82,0.0
BTC/USD:USD,2022-12-05 16:12:48,buy,17114.0,86.0,1463.69,1670256768.0,1463.69,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17114.0,717.0,12203.12,1670256786.0,12203.12,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17115.0,158.0,2689.11,1670256786.0,2689.11,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17117.8,323.0,5497.36,1670256786.0,5497.36,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17119.3,158.0,2689.11,1670256786.0,2689.11,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17121.9,580.0,9871.43,1670256786.0,9871.43,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17122.2,1169.0,19896.03,1670256786.0,19896.03,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17122.7,1169.0,19896.03,1670256786.0,19896.03,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17123.2,1169.0,19896.03,1670256786.0,19896.03,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17124.7,332.0,5650.54,1670256786.0,5650.54,0.0
BTC/USD:USD,2022-12-05 16:13:06,buy,17124.7,158.0,2689.11,1670256786.0,2689.11,0.0
BTC/USD:USD,2022-12-05 16:13:07,sell,17117.0,200.0,3403.94,1670256787.0,0.0,3403.94
BTC/USD:USD,2022-12-05 16:13:10,buy,17121.9,75.0,1276.48,1670256790.0,1276.48,0.0
BTC/USD:USD,2022-12-05 16:13:13,sell,17118.0,200.0,3403.94,1670256793.0,0.0,3403.94
BTC/USD:USD,2022-12-05 16:13:27,sell,17118.4,420.0,7148.27,1670256807.0,0.0,7148.27
BTC/USD:USD,2022-12-05 16:13:38,sell,17118.2,100.0,1701.97,1670256818.0,0.0,1701.97
BTC/USD:USD,2022-12-05 16:13:38,sell,17118.1,265.0,4510.22,1670256818.0,0.0,4510.22
BTC/USD:USD,2022-12-05 16:14:05,sell,17108.5,67.0,1140.32,1670256845.0,0.0,1140.32
BTC/USD:USD,2022-12-05 16:14:06,buy,17114.9,68.0,1157.34,1670256846.0,1157.34,0.0
BTC/USD:USD,2022-12-05 16:14:21,sell,17111.5,200.0,3403.94,1670256861.0,0.0,3403.94
BTC/USD:USD,2022-12-05 16:14:25,sell,17110.5,233.0,3965.59,1670256865.0,0.0,3965.59
BTC/USD:USD,2022-12-05 16:14:26,buy,17115.5,100.0,1701.97,1670256866.0,1701.97,0.0
BTC/USD:USD,2022-12-05 16:14:48,buy,17119.6,323.0,5497.36,1670256888.0,5497.36,0.0
BTC/USD:USD,2022-12-05 16:14:48,buy,17120.3,970.0,16509.11,1670256888.0,16509.11,0.0
BTC/USD:USD,2022-12-05 16:14:48,sell,17112.5,400.0,6807.88,1670256888.0,0.0,6807.88
BTC/USD:USD,2022-12-05 16:14:49,sell,17110.6,380.0,6467.49,1670256889.0,0.0,6467.49
BTC/USD:USD,2022-12-05 16:14:52,buy,17113.0,87.0,1480.71,1670256892.0,1480.71,0.0
BTC/USD:USD,2022-12-05 16:15:14,sell,17110.8,400.0,6807.88,1670256914.0,0.0,6807.88
BTC/USD:USD,2022-12-05 16:15:14,sell,17110.8,540.0,9190.64,1670256914.0,0.0,9190.64
BTC/USD:USD,2022-12-05 16:15:25,buy,17115.0,200.0,3403.94,1670256925.0,3403.94,0.0
BTC/USD:USD,2022-12-05 16:15:27,sell,17110.2,491.0,8356.67,1670256927.0,0.0,8356.67
BTC/USD:USD,2022-12-05 16:15:29,sell,17109.7,500.0,8509.85,1670256929.0,0.0,8509.85
BTC/USD:USD,2022-12-05 16:15:30,sell,17111.5,561.0,9548.05,1670256930.0,0.0,9548.05
BTC/USD:USD,2022-12-05 16:15:31,sell,17112.0,400.0,6807.88,1670256931.0,0.0,6807.88
BTC/USD:USD,2022-12-05 16:15:36,buy,17112.2,96.0,1633.89,1670256936.0,1633.89,0.0
BTC/USD:USD,2022-12-05 16:15:48,sell,17108.9,96.0,1633.89,1670256948.0,0.0,1633.89
BTC/USD:USD,2022-12-05 16:15:49,sell,17107.9,540.0,9190.64,1670256949.0,0.0,9190.64
BTC/USD:USD,2022-12-05 16:15:54,sell,17108.1,383.0,6518.55,1670256954.0,0.0,6518.55
BTC/USD:USD,2022-12-05 16:16:10,sell,17104.9,490.0,8339.65,1670256970.0,0.0,8339.65
BTC/USD:USD,2022-12-05 16:16:28,buy,17110.0,175.0,2978.45,1670256988.0,2978.45,0.0
BTC/USD:USD,2022-12-05 16:16:28,buy,17112.3,158.0,2689.11,1670256988.0,2689.11,0.0
BTC/USD:USD,2022-12-05 16:16:28,buy,17112.4,467.0,7948.2,1670256988.0,7948.2,0.0
BTC/USD:USD,2022-12-05 16:16:30,sell,17103.5,578.0,9837.39,1670256990.0,0.0,9837.39
BTC/USD:USD,2022-12-05 16:16:34,sell,17103.8,572.0,9735.27,1670256994.0,0.0,9735.27
BTC/USD:USD,2022-12-05 16:16:49,sell,17094.5,263.0,4476.18,1670257009.0,0.0,4476.18
BTC/USD:USD,2022-12-05 16:16:51,sell,17095.6,277.0,4714.46,1670257011.0,0.0,4714.46
BTC/USD:USD,2022-12-05 16:17:11,sell,17096.4,277.0,4714.46,1670257031.0,0.0,4714.46
BTC/USD:USD,2022-12-05 16:17:11,sell,17096.4,317.0,5395.24,1670257031.0,0.0,5395.24
BTC/USD:USD,2022-12-05 16:17:17,sell,17085.8,248.0,4220.89,1670257037.0,0.0,4220.89
BTC/USD:USD,2022-12-05 16:17:17,sell,17085.7,185.0,3148.64,1670257037.0,0.0,3148.64
BTC/USD:USD,2022-12-05 16:17:31,sell,17091.8,390.0,6637.68,1670257051.0,0.0,6637.68
BTC/USD:USD,2022-12-05 16:17:51,sell,17086.6,360.0,6127.09,1670257071.0,0.0,6127.09
BTC/USD:USD,2022-12-05 16:18:11,sell,17083.7,534.0,9088.52,1670257091.0,0.0,9088.52
BTC/USD:USD,2022-12-05 16:18:32,sell,17086.3,383.0,6518.55,1670257112.0,0.0,6518.55
BTC/USD:USD,2022-12-05 16:19:00,sell,17083.2,76.0,1293.5,1670257140.0,0.0,1293.5
BTC/USD:USD,2022-12-05 16:19:08,sell,17080.2,400.0,6807.88,1670257148.0,0.0,6807.88
BTC/USD:USD,2022-12-05 16:19:42,sell,17080.1,450.0,7658.86,1670257182.0,0.0,7658.86
BTC/USD:USD,2022-12-05 16:19:42,sell,17078.4,66.0,1123.3,1670257182.0,0.0,1123.3
BTC/USD:USD,2022-12-05 16:19:46,sell,17077.9,59.0,1004.16,1670257186.0,0.0,1004.16
BTC/USD:USD,2022-12-05 16:19:47,sell,17076.6,249.0,4237.91,1670257187.0,0.0,4237.91
BTC/USD:USD,2022-12-05 16:20:00,sell,17074.4,460.0,7829.06,1670257200.0,0.0,7829.06
BTC/USD:USD,2022-12-05 16:20:24,sell,17073.8,400.0,6807.88,1670257224.0,0.0,6807.88
BTC/USD:USD,2022-12-05 16:20:30,sell,17075.2,64.0,1089.26,1670257230.0,0.0,1089.26
BTC/USD:USD,2022-12-05 16:20:36,buy,17073.2,520.0,8850.24,1670257236.0,8850.24,0.0
BTC/USD:USD,2022-12-05 16:20:46,sell,17070.0,250.0,4254.92,1670257246.0,0.0,4254.92
BTC/USD:USD,2022-12-05 16:20:53,sell,17064.2,289.0,4918.69,1670257253.0,0.0,4918.69
BTC/USD:USD,2022-12-05 16:21:17,sell,17062.6,112.0,1906.21,1670257277.0,0.0,1906.21
BTC/USD:USD,2022-12-05 16:21:34,sell,17061.7,248.0,4220.89,1670257294.0,0.0,4220.89
BTC/USD:USD,2022-12-05 16:21:34,sell,17061.6,1171.0,19930.07,1670257294.0,0.0,19930.07
BTC/USD:USD,2022-12-05 16:21:34,sell,17060.8,248.0,4220.89,1670257294.0,0.0,4220.89
BTC/USD:USD,2022-12-05 16:21:34,sell,17060.7,98.0,1667.93,1670257294.0,0.0,1667.93
BTC/USD:USD,2022-12-05 16:21:35,sell,17062.0,176.0,2995.47,1670257295.0,0.0,2995.47
BTC/USD:USD,2022-12-05 16:21:55,sell,17060.0,250.0,4254.92,1670257315.0,0.0,4254.92
BTC/USD:USD,2022-12-05 16:21:55,sell,17055.9,100.0,1701.97,1670257315.0,0.0,1701.97
BTC/USD:USD,2022-12-05 16:21:56,sell,17055.9,76.0,1293.5,1670257316.0,0.0,1293.5
BTC/USD:USD,2022-12-05 16:22:06,sell,17053.1,69.0,1174.36,1670257326.0,0.0,1174.36
BTC/USD:USD,2022-12-05 16:22:09,sell,17050.0,305.0,5191.01,1670257329.0,0.0,5191.01
BTC/USD:USD,2022-12-05 16:22:12,sell,17052.9,82.0,1395.62,1670257332.0,0.0,1395.62
BTC/USD:USD,2022-12-05 16:22:14,buy,17055.3,100.0,1701.97,1670257334.0,1701.97,0.0
BTC/USD:USD,2022-12-05 16:22:19,sell,17050.0,134.0,2280.64,1670257339.0,0.0,2280.64
BTC/USD:USD,2022-12-05 16:22:23,sell,17047.6,73.0,1242.44,1670257343.0,0.0,1242.44
BTC/USD:USD,2022-12-05 16:22:26,sell,17046.1,89.0,1514.75,1670257346.0,0.0,1514.75
BTC/USD:USD,2022-12-05 16:22:36,sell,17049.3,165.0,2808.25,1670257356.0,0.0,2808.25
BTC/USD:USD,2022-12-05 16:22:39,sell,17047.1,113.0,1923.23,1670257359.0,0.0,1923.23
BTC/USD:USD,2022-12-05 16:22:42,sell,17046.7,124.0,2110.44,1670257362.0,0.0,2110.44
BTC/USD:USD,2022-12-05 16:22:46,sell,17045.0,248.0,4220.89,1670257366.0,0.0,4220.89
BTC/USD:USD,2022-12-05 16:22:48,sell,17042.0,137.0,2331.7,1670257368.0,0.0,2331.7
BTC/USD:USD,2022-12-05 16:22:48,sell,17040.3,100.0,1701.97,1670257368.0,0.0,1701.97
BTC/USD:USD,2022-12-05 16:22:48,sell,17040.2,736.0,12526.5,1670257368.0,0.0,12526.5
BTC/USD:USD,2022-12-05 16:22:48,sell,17032.7,1671.0,28439.92,1670257368.0,0.0,28439.92
BTC/USD:USD,2022-12-05 16:22:48,sell,17032.3,411.0,6995.1,1670257368.0,0.0,6995.1
BTC/USD:USD,2022-12-05 16:22:48,sell,17031.9,158.0,2689.11,1670257368.0,0.0,2689.11
BTC/USD:USD,2022-12-05 16:22:48,sell,17031.2,411.0,6995.1,1670257368.0,0.0,6995.1
BTC/USD:USD,2022-12-05 16:22:48,sell,17030.4,455.0,7743.96,1670257368.0,0.0,7743.96
BTC/USD:USD,2022-12-05 16:22:48,sell,17030.4,148.0,2518.92,1670257368.0,0.0,2518.92
BTC/USD:USD,2022-12-05 16:22:52,buy,17039.5,200.0,3403.94,1670257372.0,3403.94,0.0
BTC/USD:USD,2022-12-05 16:22:52,buy,17039.6,100.0,1701.97,1670257372.0,1701.97,0.0
BTC/USD:USD,2022-12-05 16:22:56,sell,17041.7,154.0,2621.03,1670257376.0,0.0,2621.03
BTC/USD:USD,2022-12-05 16:23:06,buy,17046.0,157.0,2672.09,1670257386.0,2672.09,0.0
BTC/USD:USD,2022-12-05 16:23:07,buy,17047.5,61.0,1038.2,1670257387.0,1038.2,0.0
BTC/USD:USD,2022-12-05 16:23:09,buy,17047.5,111.0,1889.19,1670257389.0,1889.19,0.0
BTC/USD:USD,2022-12-05 16:23:09,buy,17048.0,73.0,1242.44,1670257389.0,1242.44,0.0
BTC/USD:USD,2022-12-05 16:23:43,buy,17056.9,395.0,6722.78,1670257423.0,6722.78,0.0
BTC/USD:USD,2022-12-05 16:23:46,buy,17057.5,150.0,2552.96,1670257426.0,2552.96,0.0
BTC/USD:USD,2022-12-05 16:23:46,buy,17057.7,102.0,1736.01,1670257426.0,1736.01,0.0
BTC/USD:USD,2022-12-05 16:23:49,buy,17062.8,242.0,4118.77,1670257429.0,4118.77,0.0
BTC/USD:USD,2022-12-05 16:24:30,sell,17055.4,248.0,4220.89,1670257470.0,0.0,4220.89
BTC/USD:USD,2022-12-05 16:24:30,sell,17055.3,155.0,2638.05,1670257470.0,0.0,2638.05
BTC/USD:USD,2022-12-05 16:24:38,sell,17052.0,248.0,4220.89,1670257478.0,0.0,4220.89
BTC/USD:USD,2022-12-05 16:24:38,sell,17052.0,200.0,3403.94,1670257478.0,0.0,3403.94
BTC/USD:USD,2022-12-05 16:24:38,sell,17051.9,147.0,2501.9,1670257478.0,0.0,2501.9
BTC/USD:USD,2022-12-05 16:24:47,sell,17046.8,363.0,6178.15,1670257487.0,0.0,6178.15
BTC/USD:USD,2022-12-05 16:24:48,sell,17046.8,108.0,1838.13,1670257488.0,0.0,1838.13
BTC/USD:USD,2022-12-05 16:24:48,sell,17045.5,200.0,3403.94,1670257488.0,0.0,3403.94
BTC/USD:USD,2022-12-05 16:24:48,sell,17045.0,501.0,8526.87,1670257488.0,0.0,8526.87
